# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
 1855       7.001580768582e-02       6.464732609114e-04       2.365767865525e-05       6.576904402833e-04       1.050042189402e-03       3.949029228134e-06      -2.140595674113e-08 
 1856       7.009176205312e-02       6.471703368048e-04       2.374126440353e-05       6.584199731892e-04       1.048945237953e-03       3.993931842237e-06      -3.192579397644e-08 
 1857       7.016826564478e-02       6.478813350962e-04       2.379295358859e-05       6.591499062513e-04       1.047849544105e-03       4.040045369431e-06      -4.213030712384e-08 
 1858       7.024532732232e-02       6.486064651000e-04       2.381221967946e-05       6.598802386657e-04       1.046755105669e-03       4.087368377343e-06      -5.198196842933e-08 
 1859       7.032295598015e-02       6.493459368906e-04       2.379853421189e-05       6.606109696249e-04       1.045661920408e-03       4.135899415430e-06      -6.144309200301e-08 
 1860       7.040116054556e-02       6.500999613034e-04       2.375136678593e-05       6.613420983184e-04       1.044569986033e-03       4.185637014951e-06      -7.047583360797e-08 
 1861       7.047994997879e-02       6.508687499354e-04       2.367018506346e-05       6.620736239322e-04       1.043479300209e-03       4.236579688937e-06      -7.904219044927e-08 
 1862       7.055933327305e-02       6.516525151464e-04       2.355445476573e-05       6.628055456488e-04       1.042389860547e-03       4.288725932160e-06      -8.710400096277e-08 
 1863       7.063931945458e-02       6.524514700601e-04       2.340363967094e-05       6.635378626477e-04       1.041301664610e-03       4.342074221108e-06      -9.462294460415e-08 
 1864       7.071991758268e-02       6.532658285646e-04       2.321720161174e-05       6.642705741047e-04       1.040214709911e-03       4.396623013949e-06      -1.015605416377e-07 
 1865       7.080113674977e-02       6.540958053140e-04       2.299460047285e-05       6.650036791923e-04       1.039128993912e-03       4.452370750505e-06      -1.078781529255e-07 
 1866       7.088298608141e-02       6.549416157287e-04       2.273529418854e-05       6.657371770797e-04       1.038044514027e-03       4.509315852223e-06      -1.135369797158e-07 
 1867       7.096547473634e-02       6.558034759969e-04       2.243873874023e-05       6.664710669328e-04       1.036961267617e-03       4.567456722141e-06      -1.184980634327e-07 
 1868       7.104861190655e-02       6.566816030752e-04       2.210438815400e-05       6.672053479138e-04       1.035879251993e-03       4.626791744864e-06      -1.227222854643e-07 
 1869       7.113240681729e-02       6.575762146898e-04       2.173169449818e-05       6.679400191819e-04       1.034798464417e-03       4.687319286531e-06      -1.261703669523e-07 
 1870       7.121686438132e-02       6.584874154163e-04       2.132038431530e-05       6.686750802263e-04       1.033718902429e-03       4.749033035022e-06      -1.288140064221e-07 
 1871       7.130197212425e-02       6.594148539435e-04       2.087129028812e-05       6.694105318697e-04       1.032640564839e-03       4.811907980768e-06      -1.306693883950e-07 
 1872       7.138771315696e-02       6.603580631292e-04       2.038552607732e-05       6.701463752734e-04       1.031563450744e-03       4.875914326166e-06      -1.317639365926e-07 
 1873       7.147407051201e-02       6.613165736752e-04       1.986421048491e-05       6.708826116032e-04       1.030487559197e-03       4.941022135200e-06      -1.321252000717e-07 
 1874       7.156102714355e-02       6.622899141237e-04       1.930846746131e-05       6.716192420306e-04       1.029412889212e-03       5.007201333246e-06      -1.317808533948e-07 
 1875       7.164856592716e-02       6.632776108549e-04       1.871942611231e-05       6.723562677320e-04       1.028339439756e-03       5.074421706882e-06      -1.307586968009e-07 
 1876       7.173666965981e-02       6.642791880838e-04       1.809822070616e-05       6.730936898892e-04       1.027267209756e-03       5.142652903706e-06      -1.290866563769e-07 
 1877       7.182532105972e-02       6.652941678572e-04       1.744599068059e-05       6.738315096890e-04       1.026196198097e-03       5.211864432136e-06      -1.267927842283e-07 
 1878       7.191450276625e-02       6.663220700508e-04       1.676388064982e-05       6.745697283235e-04       1.025126403620e-03       5.282025661229e-06      -1.239052586498e-07 
 1879       7.200419733979e-02       6.673624123665e-04       1.605304041160e-05       6.753083469900e-04       1.024057825121e-03       5.353105820486e-06      -1.204523842968e-07 
 1880       7.209438726169e-02       6.684147103291e-04       1.531462495426e-05       6.760473668911e-04       1.022990461357e-03       5.425073999668e-06      -1.164625923559e-07 
 1881       7.218505493409e-02       6.694784772834e-04       1.454979446370e-05       6.767867892345e-04       1.021924311040e-03       5.497899148600e-06      -1.119644407159e-07 
 1882       7.227618267987e-02       6.705532243915e-04       1.375971433048e-05       6.775266152333e-04       1.020859372838e-03       5.571550076986e-06      -1.069866141389e-07 
 1883       7.236775274250e-02       6.716384606296e-04       1.294555515679e-05       6.782668461056e-04       1.019795645378e-03       5.645995454219e-06      -1.015579244310e-07 
 1884       7.245974728599e-02       6.727336927852e-04       1.210849276352e-05       6.790074830749e-04       1.018733127240e-03       5.721203809189e-06      -9.570731061334e-08 
 1885       7.255214839469e-02       6.738384254540e-04       1.124970819728e-05       6.797485273701e-04       1.017671816966e-03       5.797143530098e-06      -8.946383909298e-08 
 1886       7.264493807329e-02       6.749521610372e-04       1.037038773742e-05       6.804899802251e-04       1.016611713050e-03       5.873782864265e-06      -8.285670383385e-08 
