# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   98       3.476735962682e-10       9.862816154024e-14      -2.869671040705e-12       4.098644959570e-16       1.138817063469e-11       1.596617202457e-12      -8.642410969335e-15 
   99       3.517034493577e-10       1.006139642047e-13      -2.956886831202e-12       4.183563055705e-16       1.109139612215e-11       1.562696768562e-12      -8.349782582771e-15 
  100       3.557613174158e-10       1.025832069528e-13      -3.044295263362e-12       4.269426084947e-16       1.080517681796e-11       1.529899620557e-12      -8.065206938898e-15 
  101       3.598462967803e-10       1.045336880179e-13      -3.131805006751e-12       4.356245259819e-16       1.052888515119e-11       1.498166202970e-12      -7.794287950654e-15 
  102       3.639572734953e-10       1.064631601360e-13      -3.219321669515e-12       4.444032446587e-16       1.026176378050e-11       1.467423027347e-12      -7.543006023684e-15 
  103       3.680929158220e-10       1.083693304737e-13      -3.306747768674e-12       4.532800179867e-16       1.000292155183e-11       1.437582229383e-12      -7.317726549661e-15 
  104       3.722519583435e-10       1.102499691764e-13      -3.393989221299e-12       4.622560361267e-16       9.751535524851e-12       1.408561574404e-12      -7.123733028725e-15 
  105       3.764341141205e-10       1.121032518709e-13      -3.480975880668e-12       4.713320123631e-16       9.507496839606e-12       1.380348505440e-12      -6.960582470018e-15 
  106       3.806392723650e-10       1.139274635102e-13      -3.567643731773e-12       4.805085432742e-16       9.270844967201e-12       1.352943961755e-12      -6.826135486622e-15 
  107       3.848672136147e-10       1.157208949911e-13      -3.653928659613e-12       4.897862353549e-16       9.041567675788e-12       1.326342487575e-12      -6.717968012497e-15 
  108       3.891176054478e-10       1.174818442752e-13      -3.739766491141e-12       4.991657050313e-16       8.819599252766e-12       1.300532013926e-12      -6.633363582932e-15 
  109       3.933899981975e-10       1.192086175103e-13      -3.825093037214e-12       5.086475786751e-16       8.604818726985e-12       1.275493640474e-12      -6.569305614999e-15 
  110       3.976838206660e-10       1.208995301509e-13      -3.909844134546e-12       5.182324926180e-16       8.397048090940e-12       1.251201417358e-12      -6.522469687998e-15 
  111       4.019983758397e-10       1.225529080797e-13      -3.993955687658e-12       5.279210931671e-16       8.196050522973e-12       1.227622127035e-12      -6.489215823915e-15 
  112       4.063328366032e-10       1.241670887283e-13      -4.077363710827e-12       5.377140366186e-16       8.001528609473e-12       1.204715066110e-12      -6.465580767868e-15 
  113       4.106862414539e-10       1.257404221984e-13      -4.160004370040e-12       5.476119892729e-16       7.813122567071e-12       1.182431827181e-12      -6.447270268559e-15 
  114       4.150574902167e-10       1.272712723829e-13      -4.241814024940e-12       5.576156274493e-16       7.630408464846e-12       1.160716080672e-12      -6.429651358727e-15 
  115       4.194453397583e-10       1.287580180865e-13      -4.322729270780e-12       5.677256375002e-16       7.452896446519e-12       1.139503356673e-12      -6.407744635596e-15 
  116       4.238485741022e-10       1.301990821746e-13      -4.402685431725e-12       5.779427169577e-16       7.280138133115e-12       1.118735815253e-12      -6.377241273540e-15 
  117       4.282665473994e-10       1.315930206414e-13      -4.481611743245e-12       5.882675780993e-16       7.112067445921e-12       1.098409061095e-12      -6.337710843540e-15 
  118       4.326986992324e-10       1.329384465263e-13      -4.559435660042e-12       5.987009448454e-16       6.948698075608e-12       1.078530637455e-12      -6.289770823340e-15 
  119       4.371443834080e-10       1.342340042091e-13      -4.636084380241e-12       6.092435516902e-16       6.790017205897e-12       1.059105462267e-12      -6.234098088668e-15 
  120       4.416028652140e-10       1.354783707793e-13      -4.711484873643e-12       6.198961437265e-16       6.635984701092e-12       1.040135742506e-12      -6.171430254097e-15 
  121       4.460733186754e-10       1.366702574045e-13      -4.785563909990e-12       6.306594766707e-16       6.486532293634e-12       1.021620888550e-12      -6.102567013902e-15 
  122       4.505548238112e-10       1.378084106996e-13      -4.858248087217e-12       6.415343168869e-16       6.341562771640e-12       1.003557428540e-12      -6.028371482923e-15 
  123       4.550463638906e-10       1.388916140954e-13      -4.929463859711e-12       6.525214414116e-16       6.200949166447e-12       9.859389227448e-13      -5.949771537419e-15 
